,exp,beta_i,t0,s
0,3200,0.00011111111111111112,100.0,0.8740924729241265
1,3201,0.00011111111111111112,100.0,0.8963051901923286
2,3202,0.00011111111111111112,100.0,-0.9712251027425131
3,3203,0.00011111111111111112,100.0,0.8910729090372721
4,3204,0.00011111111111111112,100.0,0.9092233445909288
5,3205,0.00011111111111111112,100.0,0.8822724024454752
6,3206,0.00011111111111111112,100.0,-0.973913934495714
7,3207,0.00011111111111111112,100.0,0.9124925401475694
8,3208,0.00011111111111111112,100.0,0.9050174289279513
9,3209,0.00011111111111111112,100.0,0.8973351584540473
10,3210,0.00011111111111111112,100.0,0.915019671122233
11,3211,0.00011111111111111112,100.0,0.9038136800130209
12,3212,0.00011111111111111112,100.0,0.9121901194254557
13,3213,0.00011111111111111112,100.0,0.9030171500311958
14,3214,0.00011111111111111112,100.0,-0.9667992062038846
15,3215,0.00011111111111111112,100.0,0.9113648732503256
16,3216,0.00011111111111111112,100.0,0.9127417670355903
17,3217,0.00011111111111111112,100.0,-0.9799399905734592
18,3218,0.00011111111111111112,100.0,0.9063911437988281
19,3219,0.00011111111111111112,100.0,-0.9745154910617404
20,3220,0.00011111111111111112,100.0,0.9096024831136068
21,3221,0.00011111111111111112,100.0,0.8804315461052789
22,3222,0.00011111111111111112,100.0,0.9130723741319444
23,3223,0.00011111111111111112,100.0,-0.8980712890625
24,3224,0.00011111111111111112,100.0,0.9145738813612196
25,3225,0.00011111111111111112,100.0,0.8990033467610677
26,3226,0.00011111111111111112,100.0,0.9228562249077691
27,3227,0.00011111111111111112,100.0,0.9232147004869249
28,3228,0.00011111111111111112,100.0,0.9099735683865018
29,3229,0.00011111111111111112,100.0,0.843742741478814
30,3230,0.00011111111111111112,100.0,0.912257194519043
31,3231,0.00011111111111111112,100.0,-0.9959478378295898
32,3232,0.00011111111111111112,100.0,0.9025350146823459
33,3233,0.00011111111111111112,100.0,0.9087601767645942
34,3234,0.00011111111111111112,100.0,0.9188815222846137
35,3235,0.00011111111111111112,100.0,0.9007556703355577
36,3236,0.00011111111111111112,100.0,0.9123434490627713
37,3237,0.00011111111111111112,100.0,0.9170989990234375
38,3238,0.00011111111111111112,100.0,0.9045058356391059
39,3239,0.00011111111111111112,100.0,0.9208512836032443
40,3240,0.00011111111111111112,100.0,0.873653358883328
41,3241,0.00011111111111111112,100.0,0.9145904117160373
42,3242,0.00011111111111111112,100.0,0.9187402725219727
43,3243,0.00011111111111111112,100.0,0.7659395005967882
44,3244,0.00011111111111111112,100.0,0.9080265892876519
45,3245,0.00011111111111111112,100.0,0.9143332375420464
46,3246,0.00011111111111111112,100.0,0.9166144265068902
47,3247,0.00011111111111111112,100.0,0.9176039165920682
48,3248,0.00011111111111111112,100.0,0.9248204761081271
49,3249,0.00011111111111111112,100.0,0.9086893929375542
50,3250,0.00011111111111111112,200.0,0.02555988894568549
51,3251,0.00011111111111111112,200.0,0.7617078887091743
52,3252,0.00011111111111111112,200.0,-0.25359296798706055
53,3253,0.00011111111111111112,200.0,-0.8482808007134331
54,3254,0.00011111111111111112,200.0,0.7894394132826064
55,3255,0.00011111111111111112,200.0,0.6944244702657064
56,3256,0.00011111111111111112,200.0,-0.8316383361816406
57,3257,0.00011111111111111112,200.0,0.6927454736497667
58,3258,0.00011111111111111112,200.0,0.769106388092041
59,3259,0.00011111111111111112,200.0,0.7745894855923123
60,3260,0.00011111111111111112,200.0,0.7808466487460666
61,3261,0.00011111111111111112,200.0,0.7157702975802951
62,3262,0.00011111111111111112,200.0,0.8049375745985243
63,3263,0.00011111111111111112,200.0,0.776502874162462
64,3264,0.00011111111111111112,200.0,0.7190916273328993
65,3265,0.00011111111111111112,200.0,0.7628027598063151
66,3266,0.00011111111111111112,200.0,0.6950251791212294
67,3267,0.00011111111111111112,200.0,-0.9700945748223199
68,3268,0.00011111111111111112,200.0,-0.6844107839796278
69,3269,0.00011111111111111112,200.0,-0.9677321116129557
70,3270,0.00011111111111111112,200.0,0.6505071851942275
71,3271,0.00011111111111111112,200.0,0.7135172949896919
72,3272,0.00011111111111111112,200.0,0.7781198819478353
73,3273,0.00011111111111111112,200.0,-0.8047598732842339
74,3274,0.00011111111111111112,200.0,0.797983275519477
75,3275,0.00011111111111111112,200.0,-0.9372043609619141
76,3276,0.00011111111111111112,200.0,0.818157778845893
77,3277,0.00011111111111111112,200.0,0.7811788452996148
78,3278,0.00011111111111111112,200.0,0.7877347734239366
79,3279,0.00011111111111111112,200.0,0.5517989794413248
80,3280,0.00011111111111111112,200.0,0.7268011834886339
81,3281,0.00011111111111111112,200.0,-0.99101808336046
82,3282,0.00011111111111111112,200.0,0.783286624484592
83,3283,0.00011111111111111112,200.0,0.7511142624749078
