,exp,beta_i,t0,s
0,0,0.00011111111111111112,100.0,0.8926152123345269
1,1,0.00011111111111111112,100.0,0.9094351662529839
2,2,0.00011111111111111112,100.0,0.920093854268392
3,3,0.00011111111111111112,100.0,0.9159993065728081
4,4,0.00011111111111111112,100.0,-0.9143520991007487
5,5,0.00011111111111111112,100.0,0.9094984266493056
6,6,0.00011111111111111112,100.0,0.9198290506998698
7,7,0.00011111111111111112,100.0,0.8954061932033963
8,8,0.00011111111111111112,100.0,0.8994816674126519
9,9,0.00011111111111111112,100.0,0.9051573011610243
10,10,0.00011111111111111112,100.0,0.9062889946831597
11,11,0.00011111111111111112,100.0,0.9076895183987088
12,12,0.00011111111111111112,100.0,0.9102239608764648
13,13,0.00011111111111111112,100.0,0.891509903801812
14,14,0.00011111111111111112,100.0,0.8898689481947157
15,15,0.00011111111111111112,100.0,0.9055538177490234
16,16,0.00011111111111111112,100.0,0.8830766677856445
17,17,0.00011111111111111112,100.0,0.8950386047363281
18,18,0.00011111111111111112,100.0,0.9201347563001845
19,19,0.00011111111111111112,100.0,0.8937466939290365
20,20,0.00011111111111111112,100.0,0.8946404986911349
21,21,0.00011111111111111112,100.0,0.8913360171847873
22,22,0.00011111111111111112,100.0,0.911706288655599
23,23,0.00011111111111111112,100.0,0.9115530649820963
24,24,0.00011111111111111112,100.0,0.9047969182332357
25,25,0.00011111111111111112,100.0,0.9176674948798286
26,26,0.00011111111111111112,100.0,0.920716921488444
27,27,0.00011111111111111112,100.0,0.9220868216620551
28,28,0.00011111111111111112,100.0,0.9047870635986328
29,29,0.00011111111111111112,100.0,0.8875594139099121
30,30,0.00011111111111111112,100.0,-0.9922796885172526
31,31,0.00011111111111111112,100.0,0.8988978068033854
32,32,0.00011111111111111112,100.0,0.9158723619249132
33,33,0.00011111111111111112,100.0,0.9164516660902235
34,34,0.00011111111111111112,100.0,0.9217751820882162
35,35,0.00011111111111111112,100.0,0.883813222249349
36,36,0.00011111111111111112,100.0,-0.9949358834160699
37,37,0.00011111111111111112,100.0,-0.9868994818793403
38,38,0.00011111111111111112,100.0,0.913563092549642
39,39,0.00011111111111111112,100.0,0.9141224755181206
40,40,0.00011111111111111112,100.0,0.8680769602457682
41,41,0.00011111111111111112,100.0,-0.9830037222968208
42,42,0.00011111111111111112,100.0,0.908906512790256
43,43,0.00011111111111111112,100.0,0.9092353185017904
44,44,0.00011111111111111112,100.0,0.9091616736518012
45,45,0.00011111111111111112,100.0,0.8989842732747396
46,46,0.00011111111111111112,100.0,0.9126764933268229
47,47,0.00011111111111111112,100.0,0.8564632203843858
48,48,0.00011111111111111112,100.0,0.9075393676757812
49,49,0.00011111111111111112,100.0,0.9167023764716254
50,50,0.00011111111111111112,200.0,0.7363647884792752
51,51,0.00011111111111111112,200.0,0.7291416592068143
52,52,0.00011111111111111112,200.0,0.7686503728230795
53,53,0.00011111111111111112,200.0,0.8004895316229926
54,54,0.00011111111111111112,200.0,-0.9440327750311958
55,55,0.00011111111111111112,200.0,0.7785837915208604
56,56,0.00011111111111111112,200.0,0.8168751928541396
57,57,0.00011111111111111112,200.0,0.7734467188517252
58,58,0.00011111111111111112,200.0,0.7340893215603299
59,59,0.00011111111111111112,200.0,0.791274282667372
60,60,0.00011111111111111112,200.0,0.7701591915554471
61,61,0.00011111111111111112,200.0,0.7963896327548556
62,62,0.00011111111111111112,200.0,0.7860408359103732
63,63,0.00011111111111111112,200.0,0.6963668929206001
64,64,0.00011111111111111112,200.0,0.7521231439378526
65,65,0.00011111111111111112,200.0,0.7075780232747396
66,66,0.00011111111111111112,200.0,0.013745446999867758
67,67,0.00011111111111111112,200.0,0.746987607744005
68,68,0.00011111111111111112,200.0,0.8070500161912706
69,69,0.00011111111111111112,200.0,0.7666136423746744
70,70,0.00011111111111111112,200.0,0.756933954026964
71,71,0.00011111111111111112,200.0,0.7395688162909614
72,72,0.00011111111111111112,200.0,0.7865619659423828
73,73,0.00011111111111111112,200.0,0.7972817420959473
74,74,0.00011111111111111112,200.0,0.28812676005893284
75,75,0.00011111111111111112,200.0,0.80135711034139
76,76,0.00011111111111111112,200.0,0.7904746797349718
77,77,0.00011111111111111112,200.0,0.7836336029900445
78,78,0.00011111111111111112,200.0,0.7928689320882162
79,79,0.00011111111111111112,200.0,0.780248588985867
80,80,0.00011111111111111112,200.0,-0.9835121366712782
81,81,0.00011111111111111112,200.0,0.7671343485514323
82,82,0.00011111111111111112,200.0,0.7878696653578017
83,83,0.00011111111111111112,200.0,0.7216762436760796
84,84,0.00011111111111111112,200.0,0.8007388644748263
85,85,0.00011111111111111112,200.0,-0.7612074216206869
86,86,0.00011111111111111112,200.0,-0.9899817572699653
87,87,0.00011111111111111112,200.0,-0.7504422399732802
88,88,0.00011111111111111112,200.0,0.7791080474853516
89,89,0.00011111111111111112,200.0,0.7886882887946235
90,90,0.00011111111111111112,200.0,0.7413373523288302
91,91,0.00011111111111111112,200.0,-0.9020794762505425
92,92,0.00011111111111111112,200.0,0.7770860460069444
93,93,0.00011111111111111112,200.0,0.7380924224853516
94,94,0.00011111111111111112,200.0,0.7829122013515897
95,95,0.00011111111111111112,200.0,0.7308130794101291
96,96,0.00011111111111111112,200.0,0.789886368645562
97,97,0.00011111111111111112,200.0,0.6982769436306424
98,98,0.00011111111111111112,200.0,0.7085287306043837
99,99,0.00011111111111111112,200.0,0.7577945921156142
100,100,0.00011111111111111112,300.0,0.8888250456915961
101,101,0.00011111111111111112,300.0,0.8371816211276584
102,102,0.00011111111111111112,300.0,0.8812450832790799
103,103,0.00011111111111111112,300.0,0.89592530992296
104,104,0.00011111111111111112,300.0,-0.9963428709242079
105,105,0.00011111111111111112,300.0,0.8838299115498861
106,106,0.00011111111111111112,300.0,0.8942446178860135
107,107,0.00011111111111111112,300.0,0.8913164138793945
108,108,0.00011111111111111112,300.0,0.8938415315416124
109,109,0.00011111111111111112,300.0,0.8951884375678169
110,110,0.00011111111111111112,300.0,-0.9609010484483507
111,111,0.00011111111111111112,300.0,0.8950015174018012
112,112,0.00011111111111111112,300.0,0.8938448164198134
113,113,0.00011111111111111112,300.0,0.15517234802246094
114,114,0.00011111111111111112,300.0,0.8856400383843316
115,115,0.00011111111111111112,300.0,0.8694301181369357
116,116,0.00011111111111111112,300.0,-0.9936598671807183
117,117,0.00011111111111111112,300.0,0.8912938435872396
118,118,0.00011111111111111112,300.0,0.8993009991115994
119,119,0.00011111111111111112,300.0,0.8765319188435873
120,120,0.00011111111111111112,300.0,0.8864173889160156
121,121,0.00011111111111111112,300.0,0.8368757035997179
122,122,0.00011111111111111112,300.0,0.8804725541008843
123,123,0.00011111111111111112,300.0,0.8948216968112521
124,124,0.00011111111111111112,300.0,-0.9842643737792969
125,125,0.00011111111111111112,300.0,0.8849580552842882
126,126,0.00011111111111111112,300.0,0.8805905448065864
127,127,0.00011111111111111112,300.0,0.8766789966159396
128,128,0.00011111111111111112,300.0,0.8832549519009061
129,129,0.00011111111111111112,300.0,0.8891228569878472
130,130,0.00011111111111111112,300.0,-0.9987601174248589
131,131,0.00011111111111111112,300.0,0.8893992106119791
132,132,0.00011111111111111112,300.0,0.8877798716227213
133,133,0.00011111111111111112,300.0,-0.9807824028862847
134,134,0.00011111111111111112,300.0,0.8920612335205078
135,135,0.00011111111111111112,300.0,-0.9950647354125977
136,136,0.00011111111111111112,300.0,-0.999269167582194
137,137,0.00011111111111111112,300.0,-0.9936566882663302
138,138,0.00011111111111111112,300.0,0.8914733462863498
139,139,0.00011111111111111112,300.0,0.881744490729438
140,140,0.00011111111111111112,300.0,0.8757887416415744
141,141,0.00011111111111111112,300.0,-0.9957959916856554
142,142,0.00011111111111111112,300.0,0.8717524740431044
143,143,0.00011111111111111112,300.0,-0.9929139879014757
144,144,0.00011111111111111112,300.0,0.8903423945109049
145,145,0.00011111111111111112,300.0,-0.876781145731608
146,146,0.00011111111111111112,300.0,0.853595150841607
147,147,0.00011111111111111112,300.0,0.8800950050354004
148,148,0.00011111111111111112,300.0,0.8592537773980035
149,149,0.00011111111111111112,300.0,0.7099479039510092
150,150,0.00011111111111111112,400.0,0.9270522859361436
151,151,0.00011111111111111112,400.0,-0.9967349370320638
152,152,0.00011111111111111112,400.0,0.8755884170532227
153,153,0.00011111111111111112,400.0,0.927241219414605
154,154,0.00011111111111111112,400.0,-0.9994203779432509
155,155,0.00011111111111111112,400.0,0.9060638215806749
156,156,0.00011111111111111112,400.0,0.9219009611341689
157,157,0.00011111111111111112,400.0,0.92015626695421
158,158,0.00011111111111111112,400.0,0.9266056484646268
159,159,0.00011111111111111112,400.0,0.926487922668457
160,160,0.00011111111111111112,400.0,-0.9988501866658529
161,161,0.00011111111111111112,400.0,0.926875008477105
162,162,0.00011111111111111112,400.0,0.9174236721462674
163,163,0.00011111111111111112,400.0,-0.9978963004218208
164,164,0.00011111111111111112,400.0,0.9239185121324327
165,165,0.00011111111111111112,400.0,0.9036741256713867
166,166,0.00011111111111111112,400.0,-0.9993021223280165
167,167,0.00011111111111111112,400.0,0.9227874543931749
168,168,0.00011111111111111112,400.0,0.9266485638088651
169,169,0.00011111111111111112,400.0,0.8759032885233561
170,170,0.00011111111111111112,400.0,0.9164385265774198
171,171,0.00011111111111111112,400.0,-0.9912185668945312
172,172,0.00011111111111111112,400.0,0.9060702853732638
173,173,0.00011111111111111112,400.0,0.9260491265190972
174,174,0.00011111111111111112,400.0,-0.9986671871609158
175,175,0.00011111111111111112,400.0,0.852499802907308
176,176,0.00011111111111111112,400.0,0.9028877682156033
177,177,0.00011111111111111112,400.0,-0.9938058853149414
178,178,0.00011111111111111112,400.0,0.8941894107394748
179,179,0.00011111111111111112,400.0,0.9230161243014865
180,180,0.00011111111111111112,400.0,-0.9995843039618598
181,181,0.00011111111111111112,400.0,0.9231928719414605
182,182,0.00011111111111111112,400.0,0.921695179409451
183,183,0.00011111111111111112,400.0,-0.9987116919623481
184,184,0.00011111111111111112,400.0,0.9080144034491645
185,185,0.00011111111111111112,400.0,-0.9992672602335612
186,186,0.00011111111111111112,400.0,-0.9996773401896158
187,187,0.00011111111111111112,400.0,-0.9992562399970161
188,188,0.00011111111111111112,400.0,0.921558698018392
189,189,0.00011111111111111112,400.0,0.879494825998942
190,190,0.00011111111111111112,400.0,0.8776501019795736
191,191,0.00011111111111111112,400.0,-0.9994354248046875
192,192,0.00011111111111111112,400.0,0.9012330373128256
193,193,0.00011111111111111112,400.0,-0.9991885291205512
194,194,0.00011111111111111112,400.0,0.9199910693698459
195,195,0.00011111111111111112,400.0,-0.9978237152099609
196,196,0.00011111111111111112,400.0,-0.9852475060356988
197,197,0.00011111111111111112,400.0,0.9176936679416232
198,198,0.00011111111111111112,400.0,-0.9948753780788846
199,199,0.00011111111111111112,400.0,-0.9984781477186415
200,200,0.00011111111111111112,500.0,0.9424269994099935
201,201,0.00011111111111111112,500.0,-0.9995382097032335
202,202,0.00011111111111111112,500.0,-0.9984463585747613
203,203,0.00011111111111111112,500.0,0.9447051154242622
204,204,0.00011111111111111112,500.0,-0.9996585845947266
205,205,0.00011111111111111112,500.0,0.9169751273261176
206,206,0.00011111111111111112,500.0,0.939082039727105
207,207,0.00011111111111111112,500.0,0.9341780344645182
208,208,0.00011111111111111112,500.0,0.9429483413696289
209,209,0.00011111111111111112,500.0,0.9440824720594618
210,210,0.00011111111111111112,500.0,-0.9996293385823568
211,211,0.00011111111111111112,500.0,0.9442915386623807
212,212,0.00011111111111111112,500.0,0.9320139355129666
213,213,0.00011111111111111112,500.0,-0.9995787938435873
214,214,0.00011111111111111112,500.0,0.9415328767564561
215,215,0.00011111111111111112,500.0,-0.9979333877563477
216,216,0.00011111111111111112,500.0,-0.9996433258056641
217,217,0.00011111111111111112,500.0,0.935943603515625
218,218,0.00011111111111111112,500.0,0.9447426266140408
219,219,0.00011111111111111112,500.0,-0.9986944198608398
220,220,0.00011111111111111112,500.0,-0.9853328069051107
221,221,0.00011111111111111112,500.0,-0.9994010925292969
222,222,0.00011111111111111112,500.0,-0.9961822297837999
223,223,0.00011111111111111112,500.0,0.944331169128418
224,224,0.00011111111111111112,500.0,-0.9996105829874674
225,225,0.00011111111111111112,500.0,-0.9982954661051432
226,226,0.00011111111111111112,500.0,-0.9991768731011285
227,227,0.00011111111111111112,500.0,-0.9992646111382378
228,228,0.00011111111111111112,500.0,-0.9884875615437826
229,229,0.00011111111111111112,500.0,0.9395702150132921
230,230,0.00011111111111111112,500.0,-0.999667591518826
231,231,0.00011111111111111112,500.0,0.9298185772365994
232,232,0.00011111111111111112,500.0,0.9394204881456163
233,233,0.00011111111111111112,500.0,-0.9996715121799045
234,234,0.00011111111111111112,500.0,-0.995473755730523
235,235,0.00011111111111111112,500.0,-0.9996767044067383
236,236,0.00011111111111111112,500.0,-0.9996863471137153
237,237,0.00011111111111111112,500.0,-0.9996327294243706
238,238,0.00011111111111111112,500.0,0.9412947760687934
239,239,0.00011111111111111112,500.0,-0.9978866577148438
240,240,0.00011111111111111112,500.0,-0.9968237347073026
241,241,0.00011111111111111112,500.0,-0.9997017118665907
242,242,0.00011111111111111112,500.0,-0.997979482014974
243,243,0.00011111111111111112,500.0,-0.9996777640448676
244,244,0.00011111111111111112,500.0,0.9308565987481011
245,245,0.00011111111111111112,500.0,-0.9995536804199219
246,246,0.00011111111111111112,500.0,-0.9992667304144965
247,247,0.00011111111111111112,500.0,0.925063239203559
248,248,0.00011111111111111112,500.0,-0.999322149488661
249,249,0.00011111111111111112,500.0,-0.9996109008789062
250,250,0.00011111111111111112,600.0,0.9538272221883138
251,251,0.00011111111111111112,600.0,-0.999709235297309
252,252,0.00011111111111111112,600.0,-0.9996324115329318
253,253,0.00011111111111111112,600.0,0.9534818861219618
254,254,0.00011111111111111112,600.0,-0.9997209972805448
255,255,0.00011111111111111112,600.0,-0.9991596009996202
256,256,0.00011111111111111112,600.0,0.9410320917765299
257,257,0.00011111111111111112,600.0,0.8613637288411459
258,258,0.00011111111111111112,600.0,0.9541954464382596
259,259,0.00011111111111111112,600.0,0.9544180764092339
260,260,0.00011111111111111112,600.0,-0.9997163348727756
261,261,0.00011111111111111112,600.0,0.9544069502088759
262,262,0.00011111111111111112,600.0,-0.9988941616482205
263,263,0.00011111111111111112,600.0,-0.9996813668145074
264,264,0.00011111111111111112,600.0,0.9506414201524522
265,265,0.00011111111111111112,600.0,-0.9995975494384766
266,266,0.00011111111111111112,600.0,-0.9996895260281033
267,267,0.00011111111111111112,600.0,-0.9941540824042426
268,268,0.00011111111111111112,600.0,0.9542716344197592
269,269,0.00011111111111111112,600.0,-0.9996599621242948
270,270,0.00011111111111111112,600.0,-0.9994108412000868
271,271,0.00011111111111111112,600.0,-0.9996676974826388
272,272,0.00011111111111111112,600.0,-0.9995413886176215
273,273,0.00011111111111111112,600.0,0.9541409810384115
274,274,0.00011111111111111112,600.0,-0.9996969434950087
275,275,0.00011111111111111112,600.0,-0.9996600680881076
276,276,0.00011111111111111112,600.0,-0.9996861351860894
277,277,0.00011111111111111112,600.0,-0.9996202256944444
278,278,0.00011111111111111112,600.0,-0.9994843800862631
279,279,0.00011111111111111112,600.0,0.9388807084825304
280,280,0.00011111111111111112,600.0,-0.9996882544623481
281,281,0.00011111111111111112,600.0,-0.9955902099609375
282,282,0.00011111111111111112,600.0,0.945908334520128
283,283,0.00011111111111111112,600.0,-0.9996687571207682
284,284,0.00011111111111111112,600.0,-0.9995659722222222
285,285,0.00011111111111111112,600.0,-0.9997101889716254
286,286,0.00011111111111111112,600.0,-0.9996711942884657
287,287,0.00011111111111111112,600.0,-0.9997295803493924
288,288,0.00011111111111111112,600.0,0.9449187384711372
289,289,0.00011111111111111112,600.0,-0.9996330473158095
290,290,0.00011111111111111112,600.0,-0.999587270948622
291,291,0.00011111111111111112,600.0,-0.999705950419108
292,292,0.00011111111111111112,600.0,-0.9996266894870334
293,293,0.00011111111111111112,600.0,-0.9996986389160156
294,294,0.00011111111111111112,600.0,0.9213738971286349
295,295,0.00011111111111111112,600.0,-0.9997073279486762
296,296,0.00011111111111111112,600.0,-0.9996616575453017
297,297,0.00011111111111111112,600.0,-0.9976265165540907
298,298,0.00011111111111111112,600.0,-0.9996366500854492
299,299,0.00011111111111111112,600.0,-0.9996879365709093
300,300,0.00011111111111111112,700.0,0.9605651431613498
301,301,0.00011111111111111112,700.0,-0.9997095531887479
302,302,0.00011111111111111112,700.0,-0.9997070100572374
303,303,0.00011111111111111112,700.0,0.960534307691786
304,304,0.00011111111111111112,700.0,-0.999723858303494
305,305,0.00011111111111111112,700.0,-0.9996960957845052
306,306,0.00011111111111111112,700.0,0.9309519661797417
307,307,0.00011111111111111112,700.0,-0.9996524386935763
308,308,0.00011111111111111112,700.0,0.9616023169623481
309,309,0.00011111111111111112,700.0,0.9620884789360894
310,310,0.00011111111111111112,700.0,-0.999728626675076
311,311,0.00011111111111111112,700.0,0.9613164265950521
312,312,0.00011111111111111112,700.0,-0.9996785057915581
313,313,0.00011111111111111112,700.0,-0.9997076458401151
314,314,0.00011111111111111112,700.0,0.9345133039686415
315,315,0.00011111111111111112,700.0,-0.9997124142116971
316,316,0.00011111111111111112,700.0,-0.9997260835435655
317,317,0.00011111111111111112,700.0,-0.9996363321940104
318,318,0.00011111111111111112,700.0,0.9610688951280382
319,319,0.00011111111111111112,700.0,-0.9997039371066623
320,320,0.00011111111111111112,700.0,-0.9996830622355143
321,321,0.00011111111111111112,700.0,-0.9997091293334961
322,322,0.00011111111111111112,700.0,-0.9997101889716254
323,323,0.00011111111111111112,700.0,0.9601288901435004
324,324,0.00011111111111111112,700.0,-0.9997110366821289
325,325,0.00011111111111111112,700.0,-0.9997084935506185
326,326,0.00011111111111111112,700.0,-0.9997029834323459
327,327,0.00011111111111111112,700.0,-0.9996914333767362
328,328,0.00011111111111111112,700.0,-0.9997195137871636
329,329,0.00011111111111111112,700.0,-0.9995565414428711
330,330,0.00011111111111111112,700.0,-0.9997191958957248
331,331,0.00011111111111111112,700.0,-0.9996733135647244
332,332,0.00011111111111111112,700.0,-0.998459710015191
333,333,0.00011111111111111112,700.0,-0.9996931287977431
