,exp,beta_i,t0,std,mean
0,20000,1.0,200,0.9979570281022927,3.0000721721993178
1,20001,1.0,200,0.999555319042471,2.9824389652836114
2,20002,1.0,200,1.0138457279920647,2.9783270034718994
3,20003,1.0,200,1.007616527009223,2.986307583266195
4,20004,1.0,200,1.0109102051116243,3.000042241695142
5,20005,1.0,200,0.9992784459280786,2.9905860817534675
6,20006,1.0,200,0.9891590907702168,2.9785129862149606
7,20007,1.0,200,0.9952243674295769,2.9886019370922297
8,20008,1.0,200,0.9934365646624765,2.9712517769546354
9,20009,1.0,200,1.0086286000362,2.9947327311152336
10,20010,1.0,200,1.0015032346747512,3.009325601953886
11,20011,1.0,200,0.9957757706420061,2.9857258370443605
12,20012,1.0,200,1.0019536796954207,2.9879695455961253
13,20013,1.0,200,1.0004543571124442,2.9890830885562507
14,20014,1.0,200,0.9879206041705239,2.988342570637264
15,20015,1.0,200,1.0179520954688202,2.9836758040148026
16,20016,1.0,200,1.0004234009269677,2.999721998201331
17,20017,1.0,200,0.9902500712364318,2.988292765502062
18,20018,1.0,200,0.9937697755194549,2.9888310498323434
19,20019,1.0,200,0.9924731202364223,2.980315136133564
20,20020,1.0,200,1.0035879989783123,2.9840235468565246
21,20021,1.0,200,1.0005691129342709,2.9801501922701674
22,20022,1.0,200,1.0045054894997225,2.9924297285232053
23,20023,1.0,200,0.9973187332955821,2.988845960341771
24,20024,1.0,200,0.9979066159324906,2.9953495770716274
25,20025,1.0,200,1.0045989079406688,2.9819516394463714
26,20026,1.0,200,1.0061897396407309,2.998582365938948
27,20027,1.0,200,1.0043990251576145,2.991815213327498
28,20028,1.0,200,1.0026093361749322,2.978143183317201
29,20029,1.0,200,0.9916971376082813,2.9884100443138015
30,20030,1.0,200,1.0003247032449771,2.9645737710340496
31,20031,1.0,200,0.9982498106313591,2.9898894233142137
32,20032,1.0,200,1.004192668632086,2.98288161380769
33,20033,1.0,200,1.0043506428270437,2.9862330645329984
34,20034,1.0,200,1.001766363215027,2.995587924080273
35,20035,1.0,200,0.9922475033160565,2.9803724807010648
36,20036,1.0,200,1.0011716380526636,3.008045351433715
37,20037,1.0,200,0.9933477203355702,2.987274569210975
38,20038,1.0,200,1.0095453607887943,2.9686485894805417
39,20039,1.0,200,1.0171879115636249,2.979041029273981
40,20040,1.0,200,0.9839698453596093,2.969066986634494
41,20041,1.0,200,0.9982451387005808,3.0033469718161214
42,20042,1.0,200,1.0012917779860429,2.9910593477253506
43,20043,1.0,200,0.984897887060223,2.9879523629558524
44,20044,1.0,200,0.9945121002664379,3.0075723414074806
45,20045,1.0,200,1.0037282374080365,2.9965247648626985
46,20046,1.0,200,1.0066381182324293,2.9722673655392375
47,20047,1.0,200,0.9980463412581079,2.975921130182306
48,20048,1.0,200,0.9993816170220011,2.9970918384614524
49,20049,1.0,200,0.988549195553283,2.980071469611272
50,20050,1.0,200,0.9985815781581472,2.9972698109046987
51,20051,1.0,200,0.9981251221525358,3.004982588592479
52,20052,1.0,200,1.0025430084812061,2.969067297121825
53,20053,1.0,200,1.0016480268942212,2.9841429991466972
54,20054,1.0,200,1.0075175955843374,2.990055012858478
55,20055,1.0,200,0.991363791854341,2.9931483344377154
56,20056,1.0,200,1.0056205767191977,3.0028056850700975
57,20057,1.0,200,1.0053120700115563,2.9824272679425006
58,20058,1.0,200,1.0075656553454215,2.990215740387561
59,20059,1.0,200,1.0079386787681512,2.985339741865229
60,20060,1.0,200,1.008573656716859,2.9770796896842184
61,20061,1.0,200,0.9918088340525978,2.9910233378063755
62,20062,1.0,200,1.0042431944300136,2.9758150712241798
63,20063,1.0,200,0.9983423056580506,2.9865555406953748
64,20064,1.0,200,1.0120360750713353,2.9755911265169552
65,20065,1.0,200,1.002533472254671,2.9837841941462506
66,20066,1.0,200,1.0026784289924087,2.9797680187459235
67,20067,1.0,200,1.002983743610724,2.983458221674291
68,20068,1.0,200,1.006306322598979,2.987114054265725
69,20069,1.0,200,1.0065038533423454,3.00093308034235
70,20070,1.0,200,1.0048848801706622,2.9977798325364637
71,20071,1.0,200,0.9998916944571883,2.992812871937899
72,20072,1.0,200,1.0066598372048035,3.0004581683916003
73,20073,1.0,200,0.9974300938242597,2.964229741044433
74,20074,1.0,200,1.0034896023743767,2.9836345087908076
75,20075,1.0,200,0.9910663964933988,2.9770937396912336
76,20076,1.0,200,1.005832121075132,2.972352064633952
77,20077,1.0,200,1.0056139680601246,2.9692043350382495
78,20078,1.0,200,1.0011109294366807,2.978603519938717
79,20079,1.0,200,1.0023576068719215,2.970887304379553
80,20080,1.0,200,0.9927213032993029,2.975199164788023
81,20081,1.0,200,0.9906416070750778,2.988822239053244
82,20082,1.0,200,1.0075333397920976,2.9909370254651577
83,20083,1.0,200,1.006983547105683,3.00351236080039
84,20084,1.0,200,0.9873039426355801,2.978342068602978
85,20085,1.0,200,0.9817445914655318,2.9965921071574044
86,20086,1.0,200,1.016350956074302,2.990979377309293
87,20087,1.0,200,1.0048640218687996,2.9897138760253634
88,20088,1.0,200,0.9931868180181518,3.002017295151954
89,20089,1.0,200,0.9997985714185909,2.98728579362042
90,20090,1.0,200,1.018204121250443,2.972028671909985
91,20091,1.0,200,0.9977489287334989,2.982083511341558
92,20092,1.0,200,1.0025427141371426,2.9857478070065353
93,20093,1.0,200,0.9970952217693316,2.988381922442051
94,20094,1.0,200,0.9882741577253649,2.991828462008703
95,20095,1.0,200,0.9917632296981788,2.998339009684014
96,20096,1.0,200,0.9952829914663732,2.995956392553046
97,20097,1.0,200,0.9912442745600527,2.995923752247852
98,20098,1.0,200,0.999814663191237,2.993436939686457
99,20099,1.0,200,1.0130598015704586,2.9996461401298005
100,20100,1.0,400,0.992775783229677,2.9873638919199026
101,20101,1.0,400,0.998923319841005,2.9744369440446894
102,20102,1.0,400,1.0050786561190221,2.9915327585666693
103,20103,1.0,400,1.001443774394294,2.9961668863241013
104,20104,1.0,400,1.0065571330969967,2.9757070462161486
105,20105,1.0,400,1.0073288839330168,2.9705372239847128
106,20106,1.0,400,0.9938906734367331,2.9869222191172584
107,20107,1.0,400,1.0068766245497591,2.9960725905033128
108,20108,1.0,400,1.0042938154301546,2.9729353433196812
109,20109,1.0,400,1.00061776518899,3.0028922295838782
110,20110,1.0,400,1.003138209024791,2.976617695098347
111,20111,1.0,400,1.0118258572407677,2.9887774366427053
112,20112,1.0,400,1.002565759296481,2.996126834984824
113,20113,1.0,400,1.006140210675122,3.0034391305433012
114,20114,1.0,400,1.0002733505831896,3.001081127189395
115,20115,1.0,400,1.000488883430605,2.9881661087722544
116,20116,1.0,400,1.0134697945581321,2.9989471257584435
117,20117,1.0,400,0.9992936482108007,2.9979869799553236
118,20118,1.0,400,1.0074894332631954,2.989938650396053
119,20119,1.0,400,1.0069620119221463,2.9866268308473254
120,20120,1.0,400,1.0147119768911896,2.971945909886694
121,20121,1.0,400,1.006894593469855,2.984816822455422
122,20122,1.0,400,1.0041066795788343,2.983572875429597
123,20123,1.0,400,0.9903828259262142,2.994374137916404
124,20124,1.0,400,1.0042045208907546,2.9974412122771197
125,20125,1.0,400,1.0038954983809625,2.9780716398146603
126,20126,1.0,400,1.0004495717728685,2.985218036956581
127,20127,1.0,400,1.0060973959336175,2.991070667346526
128,20128,1.0,400,0.9991026729200122,2.988424109864349
129,20129,1.0,400,0.9870265218065143,3.0001950152154953
130,20130,1.0,400,0.996728484766472,2.9866800923781343
131,20131,1.0,400,1.0039561196245956,2.972789523160574
132,20132,1.0,400,1.0003849133585232,2.991284381193026
133,20133,1.0,400,0.994504992897124,2.984384889702959
134,20134,1.0,400,0.9980181403653013,2.9969067636828326
135,20135,1.0,400,0.9931885316707326,2.9945941294935863
136,20136,1.0,400,1.0110420300157958,2.993897839110264
137,20137,1.0,400,1.0030385677863056,2.9991910566097206
138,20138,1.0,400,0.9908982018655967,2.986240274541438
139,20139,1.0,400,0.9946786174383122,2.972052317510887
140,20140,1.0,400,1.0037664416317693,2.9887780655456435
141,20141,1.0,400,0.9957224407133343,2.9871444658912916
142,20142,1.0,400,1.0059072600154322,2.9973243207447124
143,20143,1.0,400,0.9950763867417146,2.98845958837272
144,20144,1.0,400,0.9972220183312978,2.983989864506807
145,20145,1.0,400,1.0051838488949005,3.0016542802815325
146,20146,1.0,400,1.0037297998803587,2.983742621674585
147,20147,1.0,400,1.0006503608295994,2.9739674781366014
148,20148,1.0,400,0.9951269238929703,2.978154771416324
149,20149,1.0,400,0.9906749081818027,2.979740612575116
150,20150,1.0,400,1.0061632680731525,2.990493383784229
151,20151,1.0,400,1.0078323367005049,2.9780839054733996
152,20152,1.0,400,1.0068688157520533,2.9818726412580627
153,20153,1.0,400,0.9914973429769832,2.985243826320627
154,20154,1.0,400,1.0115712542567434,2.9829836908694185
155,20155,1.0,400,0.9950575011150257,2.984771862615419
156,20156,1.0,400,0.9897268945430134,2.99031654591183
157,20157,1.0,400,1.0035619891398189,2.985237201048094
158,20158,1.0,400,0.9973718879727367,2.9939577123175978
159,20159,1.0,400,1.0018487752382,2.9976480316953906
160,20160,1.0,400,0.9906869413974144,2.9860642340870296
161,20161,1.0,400,0.9884243094587944,2.988152855793769
162,20162,1.0,400,1.0178162964275987,2.980140846772435
163,20163,1.0,400,1.0037765385526662,2.9853784458460004
164,20164,1.0,400,0.9998131150584124,3.001555482085963
165,20165,1.0,400,1.0098859328665248,2.977778509721135
166,20166,1.0,400,0.9962428660883145,2.9867037979149216
167,20167,1.0,400,1.006678736188983,2.9853250149235047
168,20168,1.0,400,1.0125410441131875,2.9936829740609627
169,20169,1.0,400,0.9975024193961112,2.9941821919783655
170,20170,1.0,400,0.9994152560770425,2.9965003347441965
171,20171,1.0,400,1.0093023823286422,2.9877526265694248
172,20172,1.0,400,1.015187523100532,2.985227270549261
173,20173,1.0,400,0.9805819851774802,2.978951045371848
174,20174,1.0,400,1.0168050727102815,2.985733029064992
175,20175,1.0,400,1.0005156096001318,2.9839303033283784
176,20176,1.0,400,0.9872016013920704,2.9866809280968516
177,20177,1.0,400,0.9996633666959418,2.9789531709966375
178,20178,1.0,400,1.0126568412695045,2.984007284786132
179,20179,1.0,400,0.9921713401158954,2.985030251611911
180,20180,1.0,400,0.9906826592784734,2.9954443758216263
181,20181,1.0,400,0.9910600890867947,3.0063442569217096
182,20182,1.0,400,1.0040878009513503,2.9816297013236244
183,20183,1.0,400,0.9995941205266572,2.9965254709958624
184,20184,1.0,400,1.0060031513076744,2.9737893204023758
185,20185,1.0,400,1.0058190324829934,2.9754629325930892
186,20186,1.0,400,1.0119897902382307,2.9742763040232716
187,20187,1.0,400,1.0081165812844382,2.9993930117711605
188,20188,1.0,400,1.0078056261011037,2.987947571207964
189,20189,1.0,400,0.9946278504150661,2.98738460245213
190,20190,1.0,400,0.9963888587457529,2.998001340944488
191,20191,1.0,400,1.0050988685056241,2.9661707958406676
192,20192,1.0,400,0.9861232718862167,2.989430291688131
193,20193,1.0,400,1.0103071546596212,2.9932772384083517
194,20194,1.0,400,0.9988104082258946,2.9917522656492963
195,20195,1.0,400,1.0109239386851738,2.9909118952708855
196,20196,1.0,400,1.004058350629115,2.9839474758733338
197,20197,1.0,400,1.0023178613385348,2.968355743280287
198,20198,1.0,400,0.9940785335880266,3.0105682940607474
199,20199,1.0,400,0.9999161554759066,3.0031465705419733
200,20200,1.0,600,0.9993788227528281,3.007333665837961
201,20201,1.0,600,0.9846285402785229,2.9838403153778
202,20202,1.0,600,0.9967273822509579,2.98380530148821
203,20203,1.0,600,0.9988874809515893,2.9823987090685415
204,20204,1.0,600,0.9908385677838851,2.9923377074397104
205,20205,1.0,600,1.0006710635628466,2.9947764923447875
206,20206,1.0,600,1.0035884696702508,2.989329249958991
207,20207,1.0,600,1.0002663640561726,2.986606506929748
208,20208,1.0,600,1.0112350849630658,2.9870982039658966
209,20209,1.0,600,1.005242082569374,2.9697576078624324
210,20210,1.0,600,0.994133715883553,2.9869602495410317
211,20211,1.0,600,1.004060211022892,2.9906072482690305
212,20212,1.0,600,1.0040644629632514,2.9937889467616396
213,20213,1.0,600,1.0006126276928247,2.988566123613553
214,20214,1.0,600,1.0143288725538009,2.976516545833024
215,20215,1.0,600,1.015080189636065,2.9706139077022256
216,20216,1.0,600,1.0121227648966338,2.9898049169754484
217,20217,1.0,600,0.9947509768638749,2.990983931313345
218,20218,1.0,600,0.9935600911531681,2.9790061948243753
219,20219,1.0,600,1.0011854708664285,2.992353379515102
220,20220,1.0,600,0.9878530083492819,2.9815796215077173
221,20221,1.0,600,1.0109067555971847,2.988868996443639
222,20222,1.0,600,1.0065037534318517,2.9876403485655074
223,20223,1.0,600,0.9981500169127923,2.9824310285738855
224,20224,1.0,600,0.9978299667821593,2.982934217086038
225,20225,1.0,600,1.0030283785206995,2.9881766340100215
226,20226,1.0,600,1.005830692191925,2.986673186556622
227,20227,1.0,600,0.9973482440910078,3.0132674720313934
228,20228,1.0,600,0.9951187838536824,2.979920911149466
229,20229,1.0,600,0.9949479815132823,2.9780066657257533
230,20230,1.0,600,0.9978345890916991,2.9855091522167143
231,20231,1.0,600,1.0026496823725888,2.985923286702691
232,20232,1.0,600,1.001750920091486,2.9763686940130616
233,20233,1.0,600,1.0120118744253368,3.0001932192408405
234,20234,1.0,600,1.0002201506466557,2.9769185452752303
235,20235,1.0,600,0.9991054706600044,2.9928005790597503
236,20236,1.0,600,1.0055938516397442,2.9716186173619623
237,20237,1.0,600,1.0034670384637416,2.996413847042162
238,20238,1.0,600,1.0016604891132777,2.9777488051489556
239,20239,1.0,600,1.0118264870944713,3.004610731098753
240,20240,1.0,600,1.0098324759809418,2.990134106970582
241,20241,1.0,600,1.0010844859390016,2.985690768675357
242,20242,1.0,600,0.9887648444713028,3.003017440671576
243,20243,1.0,600,0.9977224074669593,2.9818203709510427
244,20244,1.0,600,0.9985174632009827,2.976614739910437
245,20245,1.0,600,1.0069903901617034,2.9692144934300484
246,20246,1.0,600,1.003908174653473,2.9760058951285506
247,20247,1.0,600,1.0084418098861978,2.972776651280486
248,20248,1.0,600,1.0004417049244756,2.9909306888458955
249,20249,1.0,600,1.006974434659771,3.0030893423339293
250,20250,1.0,600,1.0047914801283793,2.992442109029556
251,20251,1.0,600,1.0068914087835026,2.992495442953408
252,20252,1.0,600,0.9898004846926105,2.993112005327156
253,20253,1.0,600,0.9991653640821866,2.98165217764529
254,20254,1.0,600,1.004065697490185,2.979406474925278
255,20255,1.0,600,1.011548537040938,3.0050060264918956
256,20256,1.0,600,1.0005082342397047,2.9787225551716707
257,20257,1.0,600,1.010405495733611,2.996998616743594
258,20258,1.0,600,0.9915002493048257,2.992339448647899
259,20259,1.0,600,0.9991725704268939,2.981147953003699
260,20260,1.0,600,0.9986543874539633,2.9891216742732385
261,20261,1.0,600,0.995528833715013,2.9781855454849895
262,20262,1.0,600,1.0086341454398973,2.985132775588918
263,20263,1.0,600,0.9859397154929515,3.002134007742743
264,20264,1.0,600,0.9992695105960786,2.9874668805405955
265,20265,1.0,600,0.9993747930845404,2.975688967763899
266,20266,1.0,600,1.0052790459996641,2.9677329109913595
267,20267,1.0,600,0.9981267952259699,2.9810120185128772
268,20268,1.0,600,1.001631461050955,2.9885622515349946
269,20269,1.0,600,1.0129984248427906,2.9717796119550632
270,20270,1.0,600,1.0046342018713257,2.983495057688359
271,20271,1.0,600,0.9828942398143485,2.9955244926912323
272,20272,1.0,600,0.9990598721826677,2.9887248887543456
273,20273,1.0,600,1.0068290089044023,2.981472021446935
274,20274,1.0,600,0.9951763009753734,2.996476856870209
275,20275,1.0,600,1.0067717900815443,2.996457122751271
276,20276,1.0,600,0.9961472204373555,2.995496071854348
277,20277,1.0,600,1.0016254907313231,2.99261556663239
278,20278,1.0,600,1.0106413701834192,3.006894509176583
279,20279,1.0,600,0.997213983228885,2.971548232484818
280,20280,1.0,600,1.0065355461973071,2.988511125989933
281,20281,1.0,600,1.002613039201408,2.9844815472567263
282,20282,1.0,600,1.0059245821513467,2.984625324383466
283,20283,1.0,600,1.0050277750292607,2.9865221516375233
284,20284,1.0,600,0.9967036464983924,2.9801184297169483
285,20285,1.0,600,0.9967785522843222,2.9860917686809083
286,20286,1.0,600,1.0006156470400493,2.9899555714489146
287,20287,1.0,600,0.9961616472556484,3.0056516931421315
288,20288,1.0,600,1.0061371748314052,2.989959841343917
289,20289,1.0,600,1.002621675951477,2.9955294978813045
290,20290,1.0,600,0.9950894755432506,2.982067681703178
291,20291,1.0,600,1.001266057892096,2.9944824985977267
292,20292,1.0,600,1.0024018554483558,2.9900692656964103
293,20293,1.0,600,1.0003799127835715,2.984594278154259
294,20294,1.0,600,1.0052499674423956,2.9859479941055715
295,20295,1.0,600,0.9935270601504544,2.989819314995276
296,20296,1.0,600,1.0113507419671,2.996969992175538
297,20297,1.0,600,1.026065095924828,2.964035245399859
298,20298,1.0,600,1.0081730964671034,3.0059366918391115
299,20299,1.0,600,0.9895493206639173,2.9799175459877913
300,20300,1.0,800,0.993654557959549,2.987195805962336
301,20301,1.0,800,0.9986616336666077,2.9906788515135365
302,20302,1.0,800,1.007970908217548,3.000475166331627
303,20303,1.0,800,0.9956218108193461,2.9951383909148475
304,20304,1.0,800,1.0070125843089803,2.9954108496017264
305,20305,1.0,800,0.9929177226580348,2.9751128771391984
306,20306,1.0,800,1.0073609237578132,2.9879157887832304
307,20307,1.0,800,1.0122158116329976,2.9838870497139367
308,20308,1.0,800,1.0089219611425093,2.9897791254955797
309,20309,1.0,800,1.0006121789879365,2.9750169609925057
310,20310,1.0,800,1.0011931599467525,2.981912808860311
311,20311,1.0,800,1.0041524735456986,2.9707200329832624
312,20312,1.0,800,1.003577445222398,2.9939615838966063
313,20313,1.0,800,1.0105705669932399,2.988530078858093
314,20314,1.0,800,0.997194534985861,2.9944031703649507
315,20315,1.0,800,1.0057145631836604,2.9928467356760917
316,20316,1.0,800,1.0088517893323299,3.006288135944884
317,20317,1.0,800,0.9922127198481338,2.992721779765325
318,20318,1.0,800,1.0002058047588647,2.98028844942598
319,20319,1.0,800,1.0034026388416344,2.986866272680708
320,20320,1.0,800,1.0015462479068276,2.98139077129444
321,20321,1.0,800,0.9995991612826394,2.98439250197823
322,20322,1.0,800,0.996911540634988,2.9812261082070197
323,20323,1.0,800,0.9996650319302558,2.986411133093182
324,20324,1.0,800,0.9937389166667294,2.9965139644008287
325,20325,1.0,800,1.003602103787398,2.9940860130934386
326,20326,1.0,800,0.9959078586787996,3.0021951924434296
327,20327,1.0,800,0.9852403659524548,2.993858143175932
328,20328,1.0,800,1.0062049374137028,3.0059051350671564
329,20329,1.0,800,0.9995076982523587,2.987593041356544
330,20330,1.0,800,0.996758712590388,2.9920169323855013
331,20331,1.0,800,1.0010982389275633,3.005230542850544
332,20332,1.0,800,0.9936056515150247,2.9944865909775764
333,20333,1.0,800,0.9979483641277529,2.9882909101260484
334,20334,1.0,800,1.002850446124106,2.974300549640751
335,20335,1.0,800,1.000447888272982,2.9882653359235265
336,20336,1.0,800,1.0075328244125334,2.9863003497527703
337,20337,1.0,800,1.0051582823159217,2.9871411493855606
338,20338,1.0,800,1.013268019791565,2.983069460813753
339,20339,1.0,800,0.98621347413533,2.987731480517474
340,20340,1.0,800,0.9962718587490593,2.9724852901469463
341,20341,1.0,800,0.99919501163763,2.9914247539538485
342,20342,1.0,800,0.9984902602121319,3.011962228644599
343,20343,1.0,800,1.0031872804384625,2.9900094472555265
344,20344,1.0,800,0.9854525744091098,2.987745191933798
345,20345,1.0,800,1.0013913907391794,2.994087330240806
346,20346,1.0,800,0.9957717692591486,2.992168161471961
347,20347,1.0,800,1.0099964807149253,3.0106141340298826
348,20348,1.0,800,1.0101430593061556,2.994939308051383
349,20349,1.0,800,0.9963675068826537,2.9975108748293526
350,20350,1.0,800,1.0044043827651479,3.002189171490305
351,20351,1.0,800,0.9991054197995837,2.986213420743163
352,20352,1.0,800,0.9901551285919684,2.9891779569438364
353,20353,1.0,800,0.9852746451455946,2.982237296684549
354,20354,1.0,800,1.0018153205557176,3.0019784672760603
